Black-footed Albatross_222 ['Black-and-white Stork', 'Black-necked Stork', 'Gannet']
Black-footed Albatross_223 ['Black-necked Swan', 'Snowy Sheathbill', 'Emperor Penguin']
Black-footed Albatross_224 ['Herring Gull', 'Great Black-backed Gull', 'California Gull']
Laysan Albatross_429 ['Arctic Tern', 'Common Eider', 'Snow Bunting']
Laysan Albatross_430 ['Black-headed gull', 'Great black-backed gull', 'Herring gull']
Laysan Albatross_431 ['Black-and-white Warbler', 'Black Skimmer', 'Black Guillemot']
Sooty Albatross_75 ['Black-capped Chickadee', 'White-breasted Nuthatch', 'Black-and-white Warbler']
Sooty Albatross_76 ['Black-capped Chickadee', 'Black-throated Sparrow', 'Black-and-white Warbler']
Sooty Albatross_77 ['Black-capped Chickadee', 'Black-throated Sparrow', 'Black-and-white Warbler']
Groove-billed Ani_486 ['Black Oystercatcher (Haematopus bachmani)', 'Black Turnstone (Arenaria melanocephala)', 'Black-bellied Plover (Pluvialis squatarola)']
Groove-billed Ani_487 ['Black-headed Bunting', 'Black Guillemot', 'Black-throated Sparrow']
Groove-billed Ani_488 ['Black-and-white Warbler', 'Black-throated Sparrow', 'Black-capped Chickadee']
Crested Auklet_255 ['Black-and-white Warbler', 'Pied Wagtail', 'Black Guillemot']
Crested Auklet_256 ['Black and White Warbler', 'Black Guillemot', 'Black-bellied Plover']
Crested Auklet_257 ['Black-legged Kittiwake ', 'Black-headed Gull ', 'Pigeon Guillemot']
Least Auklet_570 ['Red-billed Starling', 'Black-headed Gull', 'Razorbill']
Least Auklet_571 ['Black-and-white Warbler', 'Black-necked Stilt', 'Black Turnstone']
Least Auklet_572 ['Black-and-white Warbler', 'Black Guillemot', 'Sanderling']
Parakeet Auklet_396 ['Common Tern', 'Black Skimmer', "Forster's Tern"]
Parakeet Auklet_397 ['Black-necked Stilt (Himantopus mexicanus)', 'Red-necked Phalarope (Phalaropus lobatus)', 'Common Tern (Sterna hirundo)']
Parakeet Auklet_398 ['Black-capped Chickadee', 'Rock Pigeon', 'Common Tern']
Rhinoceros Auklet_150 ['Black-capped Chickadee', 'European Starling', 'Red-winged Blackbird']
Rhinoceros Auklet_151 ['Black-capped Chickadee', 'Black-throated Sparrow', 'Black-and-white Warbler.']
Rhinoceros Auklet_152 ['Black-capped Chickadee', 'White-breasted Nuthatch', 'Black-throated Sparrow']
Brewer Blackbird_579 ['Red-winged Blackbird', 'Northern Cardinal', 'Scarlet Tanager']
Brewer Blackbird_580 ['Red-winged Blackbird', 'Scarlet Tanager', 'Northern Cardinal']
Brewer Blackbird_581 ['Red-winged Blackbird', 'Rose-breasted Grosbeak', 'Black-headed Grosbeak']
Red-winged Blackbird_144 ['Sparrow', 'Black-capped Chickadee', 'Song Sparrow']
Red-winged Blackbird_145 ['Black-capped Chickadee', 'Black-throated Sparrow', 'Black-and-white Warbler']
Red-winged Blackbird_146 ['Black-crowned Night Heron', 'Black-necked Grebe', 'Little Egret']
Rusty Blackbird_534 ['Yellow Warbler', 'Black-throated Green Warbler', "Wilson's Warbler"]
Rusty Blackbird_535 ['Yellow Warbler', 'Prothonotary Warbler', 'Common Yellowthroat']
Rusty Blackbird_536 ['Yellow Warbler', 'Black-throated Green Warbler', 'Blackburnian Warbler']
Yellow-headed Blackbird_138 ['Black-and-White Warbler', 'Pied Wagtail', 'Black-necked Grebe']
Yellow-headed Blackbird_139 ['Pied Wagtail', 'Black-and-white Warbler', 'Black-and-white Mannikin']
Yellow-headed Blackbird_140 ['Black-and-white Warbler', 'Pied Flycatcher', 'White-crowned Sparrow']
Bobolink_183 ['Blue Jay', 'Eastern Bluebird', 'Indigo Bunting']
Bobolink_184 ['Eastern Bluebird', 'Mountain Bluebird', 'Indigo Bunting']
Bobolink_185 ['Blue Jay', 'Eastern Bluebird', 'Mountain Bluebird']
Indigo Bunting_462 ['Blue Jay', 'Eastern Bluebird', 'Cerulean Warbler']
Indigo Bunting_463 ['Blue Jay', 'Eastern Bluebird', 'Indigo Bunting']
Indigo Bunting_464 ['Blue Jay', 'Eastern Bluebird', 'Indigo Bunting']
Lazuli Bunting_306 ['Blue Jay', 'Eastern Bluebird', 'Painted Bunting']
Lazuli Bunting_307 ['Green-winged Crested Smallbird', 'Striped-tailed Colorful Finch', 'Crested Greenwing']
Lazuli Bunting_308 ['Rainbow lorikeet', 'Blue jay', 'Painted bunting']
Painted Bunting_225 ['Red-breasted Cardinal', 'Flame-colored Tanager', 'Black-headed Grosbeak']
Painted Bunting_226 ['Northern Cardinal (Cardinalis cardinalis)', 'Red Crossbill (Loxia curvirostra)', 'Scarlet Tanager (Piranga olivacea)']
Painted Bunting_227 ['Northern Cardinal', 'Vermilion Cardinal', 'Pyrrhuloxia']
Cardinal_339 ['Yellow-throated Warbler', 'Golden-winged Warbler', 'Blackburnian Warbler']
Cardinal_340 ['Green Cheeked Conure', 'Green Honeycreeper', 'Green Jay']
Cardinal_341 ['Green-cheeked parakeet (Pyrrhura molinae)', 'Green-headed tanager (Tangara seledon)', 'Green-winged teal (Anas carolinensis)']
Spotted Catbird_177 ['Gray Catbird', 'Dark-eyed Junco', 'Black-throated Sparrow']
Spotted Catbird_178 ['Gray-headed Tanager', 'Gray Catbird', 'Gray Jay']
Spotted Catbird_179 ['Gray Catbird', 'Black-capped Chickadee', 'White-breasted Nuthatch']
Gray Catbird_207 ['Yellow Warbler', 'Goldfinch', 'Prothonotary Warbler']
Gray Catbird_208 ['Yellow Warbler', 'American Goldfinch', 'Prothonotary Warbler']
Gray Catbird_209 ['Yellow Warbler', 'Common Chiffchaff', 'Blackburnian Warbler']
Yellow-breasted Chat_270 ['Brown-headed Nuthatch (Sitta pusilla)', 'Carolina Wren (Thryothorus ludovicianus)', 'Black-capped Chickadee (Poecile atricapillus)']
Yellow-breasted Chat_271 ['Black-and-white Warbler', 'Eastern Phoebe', 'Downy Woodpecker']
Yellow-breasted Chat_272 ['Black-and-white Warbler', 'Black-capped Chickadee', 'Black-throated Sparrow']
Eastern Towhee_327 ['Sandpiper', 'Hummingbird', 'Brown Thrasher']
Eastern Towhee_328 ['Ruffed Grouse', 'Sandhill Crane', 'Hummingbird']
Eastern Towhee_329 ['Scarlet Tanager', 'Summer Tanager', 'Western Tanager']
Chuck-will Widow_198 ['Black-capped Chickadee', 'Pied Wagtail', 'Black Guillemot']
Chuck-will Widow_199 ['Black Swan (Cygnus atratus)', 'Great Cormorant (Phalacrocorax carbo)', 'Black-necked Stilt (Himantopus mexicanus)']
Chuck-will Widow_200 ['Swan', 'Crane', 'Heron']
Brandt Cormorant_6 ['Great Cormorant', 'Double-crested Cormorant', 'Pelagic Cormorant']
Brandt Cormorant_7 ['Cormorant', 'Black Guillemot', 'Black Skimmer']
Brandt Cormorant_8 ['Great Cormorant (Phalacrocorax carbo)', 'Double-crested Cormorant (Phalacrocorax auritus)', 'Neotropic Cormorant (Phalacrocorax brasilianus)']
Red-faced Cormorant_165 ['Black-necked Swan', 'Common Merganser', 'Black Skimmer']
Red-faced Cormorant_166 ['Swan', 'Duck', 'Black Swan']
Red-faced Cormorant_167 ['Black-crowned Night Heron', 'Black Skimmer', 'Black-necked Stilt']
Pelagic Cormorant_420 ['Black-capped Chickadee', 'European Starling', 'Red-winged Blackbird']
Pelagic Cormorant_421 ['Black-capped Chickadee', 'European Starling', 'American Crow']
Pelagic Cormorant_422 ['Black-capped Chickadee', 'Black-throated Sparrow', 'Black-and-white Warbler']
Bronzed Cowbird_492 ['Savannah Sparrow', 'Song Sparrow', 'Field Sparrow']
Bronzed Cowbird_493 ['Black-throated Sparrow', 'Black-crowned Night Heron', 'Black-billed Magpie']
Bronzed Cowbird_494 ['Black-capped Chickadee', 'Black-throated Sparrow', 'Black-headed Grosbeak']
Shiny Cowbird_258 ['Black-capped Chickadee', 'White-breasted Nuthatch', 'Downy Woodpecker']
Shiny Cowbird_259 ['Brown-headed Nuthatch', 'Black-capped Chickadee', 'Carolina Wren']
Shiny Cowbird_260 ['White-breasted Nuthatch', 'Brown-headed Nuthatch', 'White-throated Sparrow']
Brown Creeper_36 ['American Crow', 'Northwestern Crow', 'Fish Crow']
Brown Creeper_37 ['American Crow', 'Fish Crow', 'Northwestern Crow']
Brown Creeper_38 ['Common Crow', 'American Crow', 'Northwestern Crow']
American Crow_12 ['American Crow', 'Common Raven', 'Eurasian Jackdaw']
American Crow_13 ['American Crow', 'Fish Crow', 'Northwestern Crow']
American Crow_14 ['American Crow', 'Common Raven', 'Fish Crow']
Fish Crow_141 ['Savannah Sparrow', 'Eastern Meadowlark', 'American Pipit']
