Chihuaha_18 ['Chihuahua', 'Miniature Pinscher', 'Dachshund']
Chihuaha_19 ['Chihuahua', 'Toy Fox Terrier', 'Pomeranian']
Chihuaha_20 ['Chihuahua', 'Dachshund', 'Boston Terrier']
Japanese Spaniel_66 ['Chihuahua', 'Boston Terrier', 'Dalmatian']
Japanese Spaniel_67 ['Chihuahua', 'Chihuahua mix', 'Chihuahua Terrier mix']
Japanese Spaniel_68 ['Chihuahua', 'Jack Russell Terrier', 'Boston Terrier.']
Maltese Dog_189 ['Dalmatian', 'Bichon Frise', 'Japanese Spitz']
Maltese Dog_190 ['Maltese', 'Bichon Frise', 'Havanese']
Maltese Dog_191 ['Maltese', 'Bichon Frise', 'Havanese']
Pekinese_288 ['Pug', 'French Bulldog', 'Boston Terrier']
Pekinese_289 ['Pekingese', 'Chihuahua', 'Poodle']
Pekinese_290 ['Poodle', 'Chihuahua', 'French Bulldog']
Shih-Tzu_81 ['Shih Tzu', 'Chihuahua', 'Pekingese']
Shih-Tzu_82 ['Shih Tzu', 'Chihuahua', 'Maltese']
Shih-Tzu_83 ['Pomeranian', 'Bichon Frise', 'Coton de Tulear']
Blenheim Spaniel_0 ['King Charles Spaniel', 'Poodle', 'Cocker Spaniel']
Blenheim Spaniel_1 ['King Charles Spaniel', 'Basset Hound', 'Bulldog']
Blenheim Spaniel_2 ['Dachshund', 'Boxer', 'Basenji']
Papillon_60 ['Papillon', 'Japanese Chin', 'Long-haired Chihuahua']
Papillon_61 ['Papillon', 'Shih Tzu', 'Bichon Frise']
Papillon_62 ['Papillon', 'Poodle', 'Toy Spaniel.']
Toy Terrier_339 ['Fox Terrier', 'Rat Terrier', 'Terrier Mix']
Toy Terrier_340 ['Fox Terrier', 'Jack Russell Terrier', 'Rat Terrier']
Toy Terrier_341 ['Chihuahua', 'Terrier mix', 'Rat Terrier']
Rhodesian Ridgeback_345 ['Dalmatian', 'Great Dane', 'Boxer']
Rhodesian Ridgeback_346 ['Labrador Retriever', 'Boxer', 'Weimaraner']
Rhodesian Ridgeback_347 ['Bulldog', 'Boxer', 'Basset Hound']
Afghan Hound_309 ['Afghan Hound', 'Afghan Hounds', 'Afghan']
Afghan Hound_310 ['Afghan Hound', 'Saluki', 'Borzoi']
Afghan Hound_311 ['Afghan Hound', 'Afghan Hounds', 'Afghan']
