Abyssinian_60 ['Bengal', 'Exotic Shorthair', 'British Shorthair']
Abyssinian_61 ['British Shorthair', 'American Shorthair', 'Exotic Shorthair']
Abyssinian_62 ['American Shorthair', 'British Shorthair', 'Russian Blue']
American Bulldog_57 ['Boxer', 'Bulldog', 'Boston Terrier']
American Bulldog_58 ['Dalmatian', 'Boxer', 'Pointer']
American Bulldog_59 ['Dalmatian', 'Bichon Frise', 'Jack Russell Terrier']
American Pit Bull Terrier_69 ['Dachshund', 'American Bulldog', 'Boxer']
American Pit Bull Terrier_70 ['Hound mix', 'Labrador Retriever', 'Boxer']
American Pit Bull Terrier_71 ['Pit Bull Terrier', 'Boxer', 'Bulldog']
Basset Hound_75 ['Basset Hound', 'Dachshund', 'Beagle']
Basset Hound_76 ['Basset Hound', 'Bloodhound', 'Beagle']
Basset Hound_77 ['Beagle', 'Hound', 'Terrier']
Beagle_63 ['Beagle', 'Dachshund', 'Boston Terrier']
Beagle_64 ['Dachshund', 'Basset Hound', 'Boston Terrier']
Beagle_65 ['Beagle', 'Dachshund', 'Basset Hound']
Bengal_66 ['Bengal', 'American Shorthair', 'Egyptian Mau']
Bengal_67 ['Bengal', 'Tabby', 'Domestic Shorthair']
Bengal_68 ['Scottish Fold', 'Bengal', 'American Shorthair']
Birman_108 ['Siamese', 'American Shorthair', 'Maine Coon']
Birman_109 ['Maine Coon', 'Turkish Angora', 'British Longhair']
Birman_110 ['Siamese', 'Maine Coon', 'Ragdoll']
Bombay_6 ['Bombay', 'Oriental Shorthair', 'American Shorthair']
Bombay_7 ['Bombay', 'Oriental Shorthair', 'British Shorthair']
Bombay_8 ['Bombay', 'British Shorthair', 'Russian Blue']
Boxer_15 ['Boxer', 'Bullmastiff', 'Rottweiler']
Boxer_16 ['Boxer', 'Bulldog', 'Pitbull']
Boxer_17 ['Boxer', 'Bulldog', 'Pitbull']
British Shorthair_93 ['British Shorthair', 'Bengal', 'American Bobtail']
British Shorthair_94 ['British Blue', 'Russian Blue', 'Korat']
British Shorthair_95 ['British Shorthair', 'Scottish Fold', 'American Wirehair']
Chihuahua_102 ['Pug', 'French Bulldog', 'Bichon Frise']
Chihuahua_103 ['Chihuahua', 'Toy Fox Terrier', 'Pomeranian']
Chihuahua_104 ['Chihuahua', 'Miniature Pinscher', 'Italian Greyhound']
Egyptian Mau_42 ['Bengal', 'Abyssinian', 'Egyptian Mau']
Egyptian Mau_43 ['Bengal', 'Egyptian Mau', 'Russian Blue']
Egyptian Mau_44 ['Siamese', 'Bengal', 'Abyssinian']
English Cocker Spaniel_3 ['Cocker Spaniel', 'English Cocker Spaniel', 'American Cocker Spaniel']
English Cocker Spaniel_4 ['Cocker Spaniel', 'English Cocker Spaniel', 'American Cocker Spaniel']
English Cocker Spaniel_5 [' Cocker Spaniel', 'Dachshund', 'Basset Hound' ]
English Setter_48 ['Dalmatian', 'Boston Terrier', 'French Bulldog']
English Setter_49 ['Dalmatian', 'English Setter', 'Bull Terrier']
English Setter_50 ['Dalmatian', 'Basset Hound', 'English Pointer']
German Shorthaired_27 ['Poodle', 'Dalmatian', 'Bulldog']
German Shorthaired_28 ['Pointer', 'Dalmatian', 'Beagle']
German Shorthaired_29 ['Pointer', 'Dalmatian', 'Boston Terrier']
Great Pyrenees_39 ['Bulldog', 'Boxer', 'Dalmatian']
Great Pyrenees_40 ['Bulldog', 'Boxer', 'Dalmatian']
Great Pyrenees_41 ['Bulldog', 'Boxer', 'Samoyed']
Havanese_99 ['Poodle', 'Bichon Frise', 'Maltese']
Havanese_100 ['Bichon Frise', 'Pomeranian', 'Shih Tzu']
Havanese_101 ['Poodle', 'Bichon Frise', 'West Highland White Terrier']
Japanese Chin_30 ['Chihuahua', 'Dalmatian', 'Boston Terrier']
Japanese Chin_31 ['Chihuahua', 'Jack Russell Terrier', 'Pomeranian']
Japanese Chin_32 ['Chihuahua', 'Toy Fox Terrier', 'Rat Terrier']
Keeshond_0 ['Cairn Terrier', 'Pomeranian', 'Shih Tzu']
Keeshond_1 ['Basset Hound', 'Bulldog', 'Boston Terrier']
Keeshond_2 ['Hound', 'Boxer', 'Dalmatian']
Leonberger_9 ['Bulldog', 'Chow Chow', 'Mastiff']
Leonberger_10 ['Labrador Retriever', 'Boxer', 'Saint Bernard']
Leonberger_11 ['Bulldog', 'Boxer', 'Pug']
Maine Coon_21 ['Maine Coon', 'Norwegian Forest Cat', 'Siberian']
Maine Coon_22 ['Maine Coon', 'Norwegian Forest Cat', 'Siberian Cat']
Maine Coon_23 ['Maine Coon', 'Norwegian Forest Cat', 'Siberian Cat']
Miniature Pinscher_78 ['Pinscher', 'Miniature Pinscher', 'Doberman Pinscher']
Miniature Pinscher_79 ['Miniature Pinscher', 'Doberman Pinscher', 'Manchester Terrier']
Miniature Pinscher_80 ['Fox Terrier', 'Poodle', 'Dachshund']
Newfoundland_54 ['Bulldog', 'Boxer', 'Boston Terrier']
Newfoundland_55 ['Golden Retriever', 'Labrador Retriever', 'Bernese Mountain Dog']
Newfoundland_56 ['Tibetan Mastiff', 'Newfoundland', 'Leonberger']
Persian_96 ['Persian Cat', 'Exotic Shorthair', 'British Shorthair']
Persian_97 ['Persian Cat', 'Maine Coon', 'Ragdoll ']
Persian_98 ['Persian', 'Maine Coon', 'Siberian']
